School Year,Division Number,Division Name,School Number,School Name,English Learners,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2020-2021,2,Albemarle County,150,Mountain View Elementary,Y,119,,119
2020-2021,2,Albemarle County,890,Murray School,N,158,,158
2020-2021,2,Albemarle County,890,Murray School,Y,<,,<
2020-2021,2,Albemarle County,540,Red Hill Elementary,N,161,,161
2020-2021,2,Albemarle County,540,Red Hill Elementary,Y,<,,<
2020-2021,2,Albemarle County,30,Scottsville Elementary,N,216,,216
2020-2021,2,Albemarle County,30,Scottsville Elementary,Y,<,,<
2020-2021,2,Albemarle County,920,Stone Robinson Elementary,N,421,,421
2020-2021,2,Albemarle County,920,Stone Robinson Elementary,Y,25,,25
2020-2021,2,Albemarle County,240,Stony Point Elementary,N,166,,166
2020-2021,2,Albemarle County,240,Stony Point Elementary,Y,<,,<
2020-2021,2,Albemarle County,910,Virginia L. Murray Elementary,N,229,,229
2020-2021,2,Albemarle County,910,Virginia L. Murray Elementary,Y,<,,<
2020-2021,2,Albemarle County,140,Western Albemarle High,N,"1,132",,"1,132"
2020-2021,2,Albemarle County,140,Western Albemarle High,Y,<,,<
2020-2021,2,Albemarle County,930,Woodbrook Elementary,N,430,,430
2020-2021,2,Albemarle County,930,Woodbrook Elementary,Y,124,,124
2020-2021,8,Augusta County,212,Beverley Manor Middle,N,664,,664
2020-2021,8,Augusta County,212,Beverley Manor Middle,Y,<,,<
2020-2021,8,Augusta County,660,Buffalo Gap High,N,474,<,475
2020-2021,8,Augusta County,660,Buffalo Gap High,Y,<,,<
2020-2021,8,Augusta County,30,Cassell Elementary,N,622,,622
2020-2021,8,Augusta County,30,Cassell Elementary,Y,<,,<
2020-2021,8,Augusta County,140,Churchville Elementary,N,392,,392
2020-2021,8,Augusta County,140,Churchville Elementary,Y,<,,<
2020-2021,8,Augusta County,370,Craigsville Elementary,N,131,,131
2020-2021,8,Augusta County,842,Edward G. Clymore Elementary,N,698,,698
2020-2021,8,Augusta County,842,Edward G. Clymore Elementary,Y,39,,39
2020-2021,8,Augusta County,670,Fort Defiance High,N,754,,754
2020-2021,8,Augusta County,670,Fort Defiance High,Y,10,,10
2020-2021,8,Augusta County,843,Guy K. Stump Elementary,N,428,,428
2020-2021,8,Augusta County,843,Guy K. Stump Elementary,Y,<,,<
2020-2021,8,Augusta County,40,North River Elementary,N,228,,228
2020-2021,8,Augusta County,40,North River Elementary,Y,16,,16
2020-2021,8,Augusta County,740,Riverheads Elementary,N,706,,706
2020-2021,8,Augusta County,740,Riverheads Elementary,Y,<,,<
2020-2021,8,Augusta County,680,Riverheads High,N,465,,465
2020-2021,8,Augusta County,680,Riverheads High,Y,<,,<
2020-2021,8,Augusta County,90,S. Gordon Stewart Middle,N,494,,494
2020-2021,8,Augusta County,90,S. Gordon Stewart Middle,Y,<,,<
2020-2021,8,Augusta County,440,Stuarts Draft Elementary,N,576,,576
2020-2021,8,Augusta County,440,Stuarts Draft Elementary,Y,<,,<
2020-2021,8,Augusta County,730,Stuarts Draft High,N,707,<,708
2020-2021,8,Augusta County,730,Stuarts Draft High,Y,<,,<
2020-2021,8,Augusta County,60,Stuarts Draft Middle,N,491,,491
2020-2021,8,Augusta County,60,Stuarts Draft Middle,Y,<,,<
2020-2021,8,Augusta County,640,Wilson Elementary,N,621,,621
2020-2021,8,Augusta County,640,Wilson Elementary,Y,33,,33
2020-2021,8,Augusta County,720,Wilson Memorial High,N,805,<,806
2020-2021,8,Augusta County,720,Wilson Memorial High,Y,<,,<
2020-2021,8,Augusta County,844,Wilson Middle,N,648,,648
2020-2021,8,Augusta County,844,Wilson Middle,Y,13,,13
2020-2021,15,Buckingham County,724,Buckingham Co Elementary,N,437,,437
2020-2021,15,Buckingham County,724,Buckingham Co Elementary,Y,<,,<
2020-2021,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,69,,69
2020-2021,15,Buckingham County,723,Buckingham Co Primary,N,396,,396
2020-2021,15,Buckingham County,723,Buckingham Co Primary,Y,<,,<
2020-2021,15,Buckingham County,700,Buckingham County High,N,564,,564
2020-2021,15,Buckingham County,700,Buckingham County High,Y,<,,<
2020-2021,15,Buckingham County,721,Buckingham County Middle,N,515,,515
2020-2021,15,Buckingham County,721,Buckingham County Middle,Y,<,,<
2020-2021,104,Charlottesville City,100,Buford Middle,N,501,,501
2020-2021,104,Charlottesville City,100,Buford Middle,Y,56,,56
2020-2021,104,Charlottesville City,70,Burnley-Moran Elementary,N,285,,285
2020-2021,104,Charlottesville City,70,Burnley-Moran Elementary,Y,31,,31
2020-2021,104,Charlottesville City,140,Charlottesville High,N,"1,049",<,"1,052"
2020-2021,104,Charlottesville City,140,Charlottesville High,Y,109,,109
2020-2021,104,Charlottesville City,50,Clark Elementary,N,229,,229
2020-2021,104,Charlottesville City,50,Clark Elementary,Y,49,,49
2020-2021,104,Charlottesville City,90,Greenbrier Elementary,N,232,,232
2020-2021,104,Charlottesville City,90,Greenbrier Elementary,Y,82,,82
2020-2021,104,Charlottesville City,120,Jackson-Via Elementary,N,298,,298
2020-2021,104,Charlottesville City,120,Jackson-Via Elementary,Y,24,,24
2020-2021,104,Charlottesville City,10,Johnson Elementary,N,275,,275
2020-2021,104,Charlottesville City,10,Johnson Elementary,Y,30,,30
2020-2021,104,Charlottesville City,40,Venable Elementary,N,252,<,253
2020-2021,104,Charlottesville City,40,Venable Elementary,Y,21,,21
2020-2021,104,Charlottesville City,110,Walker Upper Elementary,N,493,,493
2020-2021,104,Charlottesville City,110,Walker Upper Elementary,Y,61,,61
2020-2021,32,Fluvanna County,300,Carysbrook Elementary,N,429,,429
2020-2021,32,Fluvanna County,300,Carysbrook Elementary,Y,11,,11
2020-2021,32,Fluvanna County,310,Central Elementary,N,390,,390
2020-2021,32,Fluvanna County,310,Central Elementary,Y,15,,15
2020-2021,32,Fluvanna County,260,Fluvanna County High,N,"1,422",,"1,422"
2020-2021,32,Fluvanna County,260,Fluvanna County High,Y,17,,17
2020-2021,32,Fluvanna County,320,Fluvanna Middle,N,761,,761
2020-2021,32,Fluvanna County,320,Fluvanna Middle,Y,<,,<
2020-2021,32,Fluvanna County,330,West Central Primary School,N,202,,202
2020-2021,32,Fluvanna County,330,West Central Primary School,Y,<,,<
2020-2021,39,Greene County,20,Nathanael Greene Elementary,N,327,,327
2020-2021,39,Greene County,20,Nathanael Greene Elementary,Y,11,,11
2020-2021,39,Greene County,10,Nathanael Greene Primary School,N,358,,358
2020-2021,39,Greene County,10,Nathanael Greene Primary School,Y,12,,12
2020-2021,39,Greene County,30,Ruckersville Elementary,N,450,,450
2020-2021,39,Greene County,30,Ruckersville Elementary,Y,49,,49
2020-2021,39,Greene County,72,William Monroe High,N,905,,905
2020-2021,39,Greene County,72,William Monroe High,Y,25,,25
2020-2021,39,Greene County,71,William Monroe Middle,N,677,,677
2020-2021,39,Greene County,71,William Monroe Middle,Y,24,,24
2020-2021,54,Louisa County,660,Jouett Elementary,N,563,,563
2020-2021,54,Louisa County,660,Jouett Elementary,Y,12,,12
2020-2021,54,Louisa County,602,Louisa County High,N,"1,499",,"1,499"
2020-2021,54,Louisa County,602,Louisa County High,Y,15,,15
2020-2021,54,Louisa County,601,Louisa County Middle,N,"1,147",,"1,147"
2020-2021,54,Louisa County,601,Louisa County Middle,Y,18,,18
2020-2021,54,Louisa County,80,Moss-Nuckols Elementary,N,546,,546
2020-2021,54,Louisa County,80,Moss-Nuckols Elementary,Y,26,,26
2020-2021,54,Louisa County,610,Thomas Jefferson Elementary,N,549,,549
2020-2021,54,Louisa County,610,Thomas Jefferson Elementary,Y,35,,35
2020-2021,54,Louisa County,641,Trevilians Elementary,N,490,,490
2020-2021,54,Louisa County,641,Trevilians Elementary,Y,12,,12
2020-2021,56,Madison County,221,Madison County High,N,540,<,541
2020-2021,56,Madison County,221,Madison County High,Y,<,,<
2020-2021,56,Madison County,230,Madison Primary,N,317,41,358
2020-2021,56,Madison County,230,Madison Primary,Y,<,,<
2020-2021,56,Madison County,200,Waverly Yowell Elementary,N,355,,355
2020-2021,56,Madison County,200,Waverly Yowell Elementary,Y,<,,<
2020-2021,56,Madison County,222,William H. Wetsel Middle,N,392,<,393
2020-2021,56,Madison County,222,William H. Wetsel Middle,Y,<,,<
2020-2021,62,Nelson County,710,Nelson County High,N,553,,553
2020-2021,62,Nelson County,710,Nelson County High,Y,13,,13
2020-2021,62,Nelson County,730,Nelson Middle,N,370,,370
2020-2021,62,Nelson County,730,Nelson Middle,Y,<,,<
2020-2021,62,Nelson County,10,Rockfish River Elementary,N,253,,253
2020-2021,62,Nelson County,10,Rockfish River Elementary,Y,22,,22
2020-2021,62,Nelson County,20,Tye River Elementary,N,350,,350
2020-2021,62,Nelson County,20,Tye River Elementary,Y,11,,11
2020-2021,68,Orange County,360,Gordon-Barbour Elementary,N,290,,290
2020-2021,68,Orange County,360,Gordon-Barbour Elementary,Y,17,,17
2020-2021,68,Orange County,70,Lightfoot Elementary,N,223,<,224
2020-2021,68,Orange County,70,Lightfoot Elementary,Y,14,,14
2020-2021,68,Orange County,50,Locust Grove Elementary,N,438,,438
2020-2021,68,Orange County,50,Locust Grove Elementary,Y,16,,16
2020-2021,68,Orange County,471,Locust Grove Middle,N,604,,604
2020-2021,68,Orange County,471,Locust Grove Middle,Y,18,,18
2020-2021,68,Orange County,51,Locust Grove Primary School,N,385,,385
2020-2021,68,Orange County,51,Locust Grove Primary School,Y,16,,16
2020-2021,68,Orange County,330,Orange County High ,N,"1,423",<,"1,424"
2020-2021,68,Orange County,330,Orange County High ,Y,32,,32
2020-2021,68,Orange County,370,Orange Elementary,N,584,,584
2020-2021,68,Orange County,370,Orange Elementary,Y,41,,41
2020-2021,68,Orange County,340,Prospect Heights Middle,N,485,<,486
2020-2021,68,Orange County,340,Prospect Heights Middle,Y,20,,20
2020-2021,68,Orange County,350,Unionville Elementary,N,209,,209
2020-2021,68,Orange County,350,Unionville Elementary,Y,16,,16
2020-2021,126,Staunton City,40,Arthur R. Ware Elementary,N,384,,384
2020-2021,126,Staunton City,40,Arthur R. Ware Elementary,Y,<,,<
2020-2021,126,Staunton City,70,Bessie Weller Elementary,N,314,,314
2020-2021,126,Staunton City,70,Bessie Weller Elementary,Y,25,,25
2020-2021,126,Staunton City,110,Shelburne Middle,N,585,,585
2020-2021,126,Staunton City,110,Shelburne Middle,Y,<,,<
2020-2021,126,Staunton City,41,Staunton City School PreSchool Programs,N,81,,81
2020-2021,126,Staunton City,30,Staunton High,N,770,,770
2020-2021,126,Staunton City,30,Staunton High,Y,16,,16
2020-2021,126,Staunton City,90,Thomas C. McSwain Elementary,N,392,,392
2020-2021,126,Staunton City,90,Thomas C. McSwain Elementary,Y,<,,<
2020-2021,130,Waynesboro City,650,Berkeley Glenn Elementary,N,236,,236
2020-2021,130,Waynesboro City,650,Berkeley Glenn Elementary,Y,<,,<
2020-2021,130,Waynesboro City,640,Kate Collins Middle,N,634,,634
2020-2021,130,Waynesboro City,640,Kate Collins Middle,Y,36,,36
2020-2021,130,Waynesboro City,620,Wayne Hills Center,N,104,,104
2020-2021,130,Waynesboro City,600,Waynesboro High,N,839,<,840
2020-2021,130,Waynesboro City,600,Waynesboro High,Y,38,,38
2020-2021,130,Waynesboro City,580,Wenonah Elementary,N,184,,184
